timestamp,datetime,resource_id,resource_type,process_state,location,coupler_type,batch_id,rake_id,locomotive_id
420.0,2025-12-01T07:00:00+00:00,W11188,wagon,rake_coupling_started,collection1,SCREW,,,
420.0,2025-12-01T07:00:00+00:00,W10437,wagon,rake_coupling_started,collection1,SCREW,,,
559.0,2025-12-01T09:19:00+00:00,W12394,wagon,rake_coupling_started,collection1,SCREW,,,
559.0,2025-12-01T09:19:00+00:00,W9278,wagon,rake_coupling_started,collection1,SCREW,,,
571.5,2025-12-01T09:31:30+00:00,W11188,wagon,rake_coupling_started,WS_01,DAC,,,
571.5,2025-12-01T09:31:30+00:00,W10437,wagon,rake_coupling_started,WS_01,DAC,,,
573.5,2025-12-01T09:33:30+00:00,W11188,wagon,rake_coupling_completed,WS_01,DAC,,,
573.5,2025-12-01T09:33:30+00:00,W10437,wagon,rake_coupling_completed,WS_01,DAC,,,
724.0,2025-12-01T12:04:00+00:00,W3926,wagon,rake_coupling_started,collection1,SCREW,,,
724.0,2025-12-01T12:04:00+00:00,W5834,wagon,rake_coupling_started,collection1,SCREW,,,
724.0,2025-12-01T12:04:00+00:00,W9460,wagon,rake_coupling_started,collection1,SCREW,,,
724.0,2025-12-01T12:04:00+00:00,W9445,wagon,rake_coupling_started,collection1,SCREW,,,
817.0,2025-12-01T13:37:00+00:00,W12394,wagon,rake_coupling_started,WS_01,DAC,,,
817.0,2025-12-01T13:37:00+00:00,W9278,wagon,rake_coupling_started,WS_01,DAC,,,
819.0,2025-12-01T13:39:00+00:00,W12394,wagon,rake_coupling_completed,WS_01,DAC,,,
819.0,2025-12-01T13:39:00+00:00,W9278,wagon,rake_coupling_completed,WS_01,DAC,,,
905.0,2025-12-01T15:05:00+00:00,W10704,wagon,rake_coupling_started,collection1,SCREW,,,
905.0,2025-12-01T15:05:00+00:00,W3675,wagon,rake_coupling_started,collection1,SCREW,,,
905.0,2025-12-01T15:05:00+00:00,W7132,wagon,rake_coupling_started,collection1,SCREW,,,
905.0,2025-12-01T15:05:00+00:00,W8934,wagon,rake_coupling_started,collection1,SCREW,,,
905.0,2025-12-01T15:05:00+00:00,W6253,wagon,rake_coupling_started,collection1,SCREW,,,
905.0,2025-12-01T15:05:00+00:00,W7747,wagon,rake_coupling_started,collection1,SCREW,,,
905.0,2025-12-01T15:05:00+00:00,W10546,wagon,rake_coupling_started,collection1,SCREW,,,
905.0,2025-12-01T15:05:00+00:00,W7222,wagon,rake_coupling_started,collection1,SCREW,,,
905.0,2025-12-01T15:05:00+00:00,W0689,wagon,rake_coupling_started,collection1,SCREW,,,
905.0,2025-12-01T15:05:00+00:00,W11268,wagon,rake_coupling_started,collection1,SCREW,,,
905.0,2025-12-01T15:05:00+00:00,W11509,wagon,rake_coupling_started,collection1,SCREW,,,
905.0,2025-12-01T15:05:00+00:00,W6557,wagon,rake_coupling_started,collection1,SCREW,,,
905.0,2025-12-01T15:05:00+00:00,W10356,wagon,rake_coupling_started,collection1,SCREW,,,
905.0,2025-12-01T15:05:00+00:00,W6006,wagon,rake_coupling_started,collection1,SCREW,,,
905.0,2025-12-01T15:05:00+00:00,W4440,wagon,rake_coupling_started,collection1,SCREW,,,
1063.5,2025-12-01T17:43:30+00:00,W3926,wagon,rake_coupling_started,WS_02,DAC,,,
1063.5,2025-12-01T17:43:30+00:00,W5834,wagon,rake_coupling_started,WS_02,DAC,,,
1065.5,2025-12-01T17:45:30+00:00,W3926,wagon,rake_coupling_completed,WS_02,DAC,,,
1065.5,2025-12-01T17:45:30+00:00,W5834,wagon,rake_coupling_completed,WS_02,DAC,,,
1080.5,2025-12-01T18:00:30+00:00,W9460,wagon,rake_coupling_started,WS_01,DAC,,,
1080.5,2025-12-01T18:00:30+00:00,W9445,wagon,rake_coupling_started,WS_01,DAC,,,
1082.5,2025-12-01T18:02:30+00:00,W9460,wagon,rake_coupling_completed,WS_01,DAC,,,
1082.5,2025-12-01T18:02:30+00:00,W9445,wagon,rake_coupling_completed,WS_01,DAC,,,
1174.5,2025-12-01T19:34:30+00:00,W10704,wagon,rake_coupling_started,WS_02,DAC,,,
1174.5,2025-12-01T19:34:30+00:00,W3675,wagon,rake_coupling_started,WS_02,DAC,,,
1176.5,2025-12-01T19:36:30+00:00,W10704,wagon,rake_coupling_completed,WS_02,DAC,,,
1176.5,2025-12-01T19:36:30+00:00,W3675,wagon,rake_coupling_completed,WS_02,DAC,,,
1191.5,2025-12-01T19:51:30+00:00,W7132,wagon,rake_coupling_started,WS_01,DAC,,,
1191.5,2025-12-01T19:51:30+00:00,W8934,wagon,rake_coupling_started,WS_01,DAC,,,
1193.5,2025-12-01T19:53:30+00:00,W7132,wagon,rake_coupling_completed,WS_01,DAC,,,
1193.5,2025-12-01T19:53:30+00:00,W8934,wagon,rake_coupling_completed,WS_01,DAC,,,
1311.0,2025-12-01T21:51:00+00:00,W6253,wagon,rake_coupling_started,WS_02,DAC,,,
1311.0,2025-12-01T21:51:00+00:00,W7747,wagon,rake_coupling_started,WS_02,DAC,,,
1313.0,2025-12-01T21:53:00+00:00,W6253,wagon,rake_coupling_completed,WS_02,DAC,,,
1313.0,2025-12-01T21:53:00+00:00,W7747,wagon,rake_coupling_completed,WS_02,DAC,,,
1315.5,2025-12-01T21:55:30+00:00,W10383,wagon,rake_coupling_started,collection1,SCREW,,,
1315.5,2025-12-01T21:55:30+00:00,W2238,wagon,rake_coupling_started,collection1,SCREW,,,
1315.5,2025-12-01T21:55:30+00:00,W0047,wagon,rake_coupling_started,collection1,SCREW,,,
1315.5,2025-12-01T21:55:30+00:00,W0049,wagon,rake_coupling_started,collection1,SCREW,,,
1315.5,2025-12-01T21:55:30+00:00,W2535,wagon,rake_coupling_started,collection1,SCREW,,,
1328.0,2025-12-01T22:08:00+00:00,W10546,wagon,rake_coupling_started,WS_01,DAC,,,
1328.0,2025-12-01T22:08:00+00:00,W7222,wagon,rake_coupling_started,WS_01,DAC,,,
1330.0,2025-12-01T22:10:00+00:00,W10546,wagon,rake_coupling_completed,WS_01,DAC,,,
1330.0,2025-12-01T22:10:00+00:00,W7222,wagon,rake_coupling_completed,WS_01,DAC,,,
1426.5,2025-12-01T23:46:30+00:00,W0689,wagon,rake_coupling_started,WS_02,DAC,,,
1426.5,2025-12-01T23:46:30+00:00,W11268,wagon,rake_coupling_started,WS_02,DAC,,,
1428.5,2025-12-01T23:48:30+00:00,W0689,wagon,rake_coupling_completed,WS_02,DAC,,,
1428.5,2025-12-01T23:48:30+00:00,W11268,wagon,rake_coupling_completed,WS_02,DAC,,,
1469.5,2025-12-02T00:29:30+00:00,W11509,wagon,rake_coupling_started,WS_01,DAC,,,
1469.5,2025-12-02T00:29:30+00:00,W6557,wagon,rake_coupling_started,WS_01,DAC,,,
1471.5,2025-12-02T00:31:30+00:00,W11509,wagon,rake_coupling_completed,WS_01,DAC,,,
1471.5,2025-12-02T00:31:30+00:00,W6557,wagon,rake_coupling_completed,WS_01,DAC,,,
1567.5,2025-12-02T02:07:30+00:00,W7970,wagon,rake_coupling_started,collection1,SCREW,,,
1567.5,2025-12-02T02:07:30+00:00,W4849,wagon,rake_coupling_started,collection1,SCREW,,,
1567.5,2025-12-02T02:07:30+00:00,W2967,wagon,rake_coupling_started,collection1,SCREW,,,
1567.5,2025-12-02T02:07:30+00:00,W9776,wagon,rake_coupling_started,collection1,SCREW,,,
1567.5,2025-12-02T02:07:30+00:00,W12208,wagon,rake_coupling_started,collection1,SCREW,,,
1567.5,2025-12-02T02:07:30+00:00,W11348,wagon,rake_coupling_started,collection1,SCREW,,,
1567.5,2025-12-02T02:07:30+00:00,W12037,wagon,rake_coupling_started,collection1,SCREW,,,
1567.5,2025-12-02T02:07:30+00:00,W0440,wagon,rake_coupling_started,collection1,SCREW,,,
1567.5,2025-12-02T02:07:30+00:00,W11988,wagon,rake_coupling_started,collection1,SCREW,,,
1591.5,2025-12-02T02:31:30+00:00,W10356,wagon,rake_coupling_started,WS_02,DAC,,,
1591.5,2025-12-02T02:31:30+00:00,W6006,wagon,rake_coupling_started,WS_02,DAC,,,
1593.5,2025-12-02T02:33:30+00:00,W10356,wagon,rake_coupling_completed,WS_02,DAC,,,
1593.5,2025-12-02T02:33:30+00:00,W6006,wagon,rake_coupling_completed,WS_02,DAC,,,
1608.5,2025-12-02T02:48:30+00:00,W4440,wagon,rake_coupling_started,WS_01,DAC,,,
1608.5,2025-12-02T02:48:30+00:00,W10383,wagon,rake_coupling_started,WS_01,DAC,,,
1610.5,2025-12-02T02:50:30+00:00,W4440,wagon,rake_coupling_completed,WS_01,DAC,,,
1610.5,2025-12-02T02:50:30+00:00,W10383,wagon,rake_coupling_completed,WS_01,DAC,,,
1707.5,2025-12-02T04:27:30+00:00,W2238,wagon,rake_coupling_started,WS_02,DAC,,,
1707.5,2025-12-02T04:27:30+00:00,W0047,wagon,rake_coupling_started,WS_02,DAC,,,
1709.5,2025-12-02T04:29:30+00:00,W2238,wagon,rake_coupling_completed,WS_02,DAC,,,
1709.5,2025-12-02T04:29:30+00:00,W0047,wagon,rake_coupling_completed,WS_02,DAC,,,
