timestamp,datetime,change_type,total_locomotives,busy_before,busy_after,available_before,available_after,utilization_before_percent,utilization_after_percent
360.0,2025-12-01T06:00:00+00:00,allocated,2,0,1,2,1,0.0,50.0
485.0,2025-12-01T08:05:00+00:00,allocated,2,1,2,1,0,50.0,100.0
499.0,2025-12-01T08:19:00+00:00,released,2,2,1,0,1,100.0,50.0
499.0,2025-12-01T08:19:00+00:00,allocated,2,1,2,1,0,50.0,100.0
511.0,2025-12-01T08:31:00+00:00,released,2,2,1,0,1,100.0,50.0
566.5,2025-12-01T09:26:30+00:00,allocated,2,1,2,1,0,50.0,100.0
583.5,2025-12-01T09:43:30+00:00,released,2,2,1,0,1,100.0,50.0
583.5,2025-12-01T09:43:30+00:00,allocated,2,2,2,0,0,100.0,100.0
638.0,2025-12-01T10:38:00+00:00,released,2,2,1,0,1,100.0,50.0
638.0,2025-12-01T10:38:00+00:00,allocated,2,2,2,0,0,100.0,100.0
664.0,2025-12-01T11:04:00+00:00,released,2,2,1,0,1,100.0,50.0
664.0,2025-12-01T11:04:00+00:00,allocated,2,2,2,0,0,100.0,100.0
772.0,2025-12-01T12:52:00+00:00,released,2,2,1,0,1,100.0,50.0
772.0,2025-12-01T12:52:00+00:00,allocated,2,2,2,0,0,100.0,100.0
789.0,2025-12-01T13:09:00+00:00,released,2,2,1,0,1,100.0,50.0
793.0,2025-12-01T13:13:00+00:00,allocated,2,1,2,1,0,50.0,100.0
819.0,2025-12-01T13:39:00+00:00,released,2,2,1,0,1,100.0,50.0
819.0,2025-12-01T13:39:00+00:00,released,2,1,0,1,2,50.0,0.0
819.0,2025-12-01T13:39:00+00:00,allocated,2,2,1,0,1,100.0,50.0
819.0,2025-12-01T13:39:00+00:00,allocated,2,1,2,1,0,50.0,100.0
845.0,2025-12-01T14:05:00+00:00,released,2,2,1,0,1,100.0,50.0
874.5,2025-12-01T14:34:30+00:00,allocated,2,1,2,1,0,50.0,100.0
891.5,2025-12-01T14:51:30+00:00,released,2,2,1,0,1,100.0,50.0
891.5,2025-12-01T14:51:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1070.0,2025-12-01T17:50:00+00:00,released,2,2,1,0,1,100.0,50.0
1070.0,2025-12-01T17:50:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1080.0,2025-12-01T18:00:00+00:00,released,2,2,1,0,1,100.0,50.0
1080.0,2025-12-01T18:00:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1096.0,2025-12-01T18:16:00+00:00,released,2,2,1,0,1,100.0,50.0
1096.0,2025-12-01T18:16:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1097.0,2025-12-01T18:17:00+00:00,released,2,2,1,0,1,100.0,50.0
1097.0,2025-12-01T18:17:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1252.0,2025-12-01T20:52:00+00:00,released,2,2,1,0,1,100.0,50.0
1252.0,2025-12-01T20:52:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1278.0,2025-12-01T21:18:00+00:00,released,2,2,1,0,1,100.0,50.0
1278.0,2025-12-01T21:18:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1284.5,2025-12-01T21:24:30+00:00,released,2,2,1,0,1,100.0,50.0
1284.5,2025-12-01T21:24:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1295.0,2025-12-01T21:35:00+00:00,released,2,2,1,0,1,100.0,50.0
1295.0,2025-12-01T21:35:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1423.5,2025-12-01T23:43:30+00:00,released,2,2,1,0,1,100.0,50.0
1423.5,2025-12-01T23:43:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1449.5,2025-12-02T00:09:30+00:00,released,2,2,1,0,1,100.0,50.0
1449.5,2025-12-02T00:09:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1466.5,2025-12-02T00:26:30+00:00,released,2,2,1,0,1,100.0,50.0
1466.5,2025-12-02T00:26:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1483.5,2025-12-02T00:43:30+00:00,released,2,2,1,0,1,100.0,50.0
1483.5,2025-12-02T00:43:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1509.5,2025-12-02T01:09:30+00:00,released,2,2,1,0,1,100.0,50.0
1509.5,2025-12-02T01:09:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1526.5,2025-12-02T01:26:30+00:00,released,2,2,1,0,1,100.0,50.0
1526.5,2025-12-02T01:26:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1597.5,2025-12-02T02:37:30+00:00,released,2,2,1,0,1,100.0,50.0
1597.5,2025-12-02T02:37:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1623.5,2025-12-02T03:03:30+00:00,released,2,2,1,0,1,100.0,50.0
1623.5,2025-12-02T03:03:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1640.5,2025-12-02T03:20:30+00:00,released,2,2,1,0,1,100.0,50.0
1640.5,2025-12-02T03:20:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1718.0,2025-12-02T04:38:00+00:00,released,2,2,1,0,1,100.0,50.0
1718.0,2025-12-02T04:38:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1744.0,2025-12-02T05:04:00+00:00,released,2,2,1,0,1,100.0,50.0
1744.0,2025-12-02T05:04:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1761.0,2025-12-02T05:21:00+00:00,released,2,2,1,0,1,100.0,50.0
1761.0,2025-12-02T05:21:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1779.5,2025-12-02T05:39:30+00:00,released,2,2,1,0,1,100.0,50.0
1779.5,2025-12-02T05:39:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1805.5,2025-12-02T06:05:30+00:00,released,2,2,1,0,1,100.0,50.0
1805.5,2025-12-02T06:05:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1822.5,2025-12-02T06:22:30+00:00,released,2,2,1,0,1,100.0,50.0
1822.5,2025-12-02T06:22:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1952.5,2025-12-02T08:32:30+00:00,released,2,2,1,0,1,100.0,50.0
1952.5,2025-12-02T08:32:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1961.5,2025-12-02T08:41:30+00:00,released,2,2,1,0,1,100.0,50.0
1961.5,2025-12-02T08:41:30+00:00,allocated,2,2,2,0,0,100.0,100.0
