timestamp,datetime,track_WS_01,track_WS_02,track_collection1,track_collection2,track_retrofit,track_retrofitted,workshop_WS_01_busy_bays,workshop_WS_02_busy_bays,locomotives_busy,wagons_in_process
0.0,2025-12-01T00:00:00+00:00,0,0,0,0,0,0,0,0,0,0
60.0,2025-12-01T01:00:00+00:00,0,0,0,0,0,0,0,0,0,0
120.0,2025-12-01T02:00:00+00:00,0,0,0,0,0,0,0,0,0,0
180.0,2025-12-01T03:00:00+00:00,0,0,0,0,0,0,0,0,0,0
240.0,2025-12-01T04:00:00+00:00,0,0,0,0,0,0,0,0,0,0
300.0,2025-12-01T05:00:00+00:00,0,0,0,0,0,0,0,0,0,0
360.0,2025-12-01T06:00:00+00:00,0,0,0,0,3,0,0,0,1,3
420.0,2025-12-01T07:00:00+00:00,0,0,0,0,3,0,0,0,1,3
480.0,2025-12-01T08:00:00+00:00,0,0,2,0,3,0,0,0,1,5
540.0,2025-12-01T09:00:00+00:00,2,0,2,0,2,0,2,0,1,8
600.0,2025-12-01T10:00:00+00:00,2,0,4,0,2,0,0,0,2,8
660.0,2025-12-01T11:00:00+00:00,4,0,0,0,4,0,2,0,2,10
720.0,2025-12-01T12:00:00+00:00,2,0,8,0,4,0,0,0,2,14
780.0,2025-12-01T13:00:00+00:00,2,0,15,0,4,0,0,0,2,21
840.0,2025-12-01T14:00:00+00:00,4,2,0,0,19,2,2,2,2,31
900.0,2025-12-01T15:00:00+00:00,4,2,5,0,19,2,0,0,2,32
960.0,2025-12-01T16:00:00+00:00,4,2,5,0,19,2,0,0,2,32
1020.0,2025-12-01T17:00:00+00:00,2,2,5,0,17,2,0,0,2,28
1080.0,2025-12-01T18:00:00+00:00,2,2,8,0,20,2,0,0,2,34
1140.0,2025-12-01T19:00:00+00:00,4,2,19,0,18,1,2,0,2,46
1200.0,2025-12-01T20:00:00+00:00,4,2,19,0,18,1,0,0,2,44
1260.0,2025-12-01T21:00:00+00:00,2,2,17,0,20,1,0,0,2,42
1320.0,2025-12-01T22:00:00+00:00,2,4,17,0,18,2,0,2,2,45
1380.0,2025-12-01T23:00:00+00:00,2,4,17,0,18,2,0,0,2,43
1440.0,2025-12-02T00:00:00+00:00,2,2,15,0,20,2,0,0,2,41
1500.0,2025-12-02T01:00:00+00:00,4,2,24,0,18,4,2,0,2,54
1560.0,2025-12-02T02:00:00+00:00,4,4,24,5,17,2,0,2,2,58
1620.0,2025-12-02T03:00:00+00:00,6,4,24,9,20,2,2,0,2,67
1680.0,2025-12-02T04:00:00+00:00,4,2,24,9,17,4,0,0,2,60
1740.0,2025-12-02T05:00:00+00:00,4,4,24,13,17,4,0,2,2,68
1800.0,2025-12-02T06:00:00+00:00,4,4,24,8,20,2,0,0,2,62
1860.0,2025-12-02T07:00:00+00:00,6,4,24,11,18,5,2,0,2,70
1920.0,2025-12-02T08:00:00+00:00,4,2,24,14,18,5,0,0,2,67
1980.0,2025-12-02T09:00:00+00:00,4,4,23,16,19,8,0,2,2,76
2040.0,2025-12-02T10:00:00+00:00,6,4,23,16,19,2,2,0,2,72
2100.0,2025-12-02T11:00:00+00:00,6,4,23,16,19,2,0,0,2,70
2160.0,2025-12-02T12:00:00+00:00,4,2,24,23,20,2,0,0,2,75
2220.0,2025-12-02T13:00:00+00:00,4,4,24,23,16,4,0,2,2,77
2280.0,2025-12-02T14:00:00+00:00,6,4,24,24,16,4,2,0,2,80
2340.0,2025-12-02T15:00:00+00:00,4,4,24,24,16,4,0,0,2,76
2400.0,2025-12-02T16:00:00+00:00,4,4,20,24,15,4,0,0,2,71
2460.0,2025-12-02T17:00:00+00:00,6,6,20,24,15,4,2,2,2,79
2520.0,2025-12-02T18:00:00+00:00,4,4,24,24,15,4,0,0,2,75
2580.0,2025-12-02T19:00:00+00:00,4,4,24,19,20,4,0,0,2,75
2640.0,2025-12-02T20:00:00+00:00,4,6,24,19,14,5,0,2,2,74
2700.0,2025-12-02T21:00:00+00:00,6,6,24,24,14,5,2,0,2,81
2760.0,2025-12-02T22:00:00+00:00,4,4,24,24,14,5,0,0,2,75
2820.0,2025-12-02T23:00:00+00:00,4,4,18,24,15,5,0,0,2,70
2880.0,2025-12-03T00:00:00+00:00,6,6,23,24,15,5,2,2,2,83
2940.0,2025-12-03T01:00:00+00:00,4,4,24,24,15,5,0,0,2,76
3000.0,2025-12-03T02:00:00+00:00,4,4,24,24,15,5,0,0,2,76
3060.0,2025-12-03T03:00:00+00:00,4,6,24,19,17,5,0,2,2,77
3120.0,2025-12-03T04:00:00+00:00,6,6,24,22,17,5,2,0,2,82
3180.0,2025-12-03T05:00:00+00:00,4,4,24,22,17,5,0,0,2,76
3240.0,2025-12-03T06:00:00+00:00,4,4,24,24,17,8,0,0,2,81
3300.0,2025-12-03T07:00:00+00:00,6,6,24,24,15,5,2,2,2,84
3360.0,2025-12-03T08:00:00+00:00,6,6,24,24,15,5,0,0,2,80
3420.0,2025-12-03T09:00:00+00:00,4,4,24,24,15,5,0,0,2,76
3480.0,2025-12-03T10:00:00+00:00,4,4,24,17,18,10,0,0,2,77
3540.0,2025-12-03T11:00:00+00:00,6,6,24,17,18,4,2,2,2,79
3600.0,2025-12-03T12:00:00+00:00,6,6,24,21,18,4,0,0,2,79
3660.0,2025-12-03T13:00:00+00:00,4,4,23,21,20,4,0,0,2,76
3720.0,2025-12-03T14:00:00+00:00,4,6,23,21,15,2,0,2,2,73
3780.0,2025-12-03T15:00:00+00:00,6,6,23,21,15,2,2,0,2,75
3840.0,2025-12-03T16:00:00+00:00,4,2,23,21,15,2,0,0,2,67
3900.0,2025-12-03T17:00:00+00:00,4,2,23,21,13,6,0,0,2,69
3960.0,2025-12-03T18:00:00+00:00,6,4,24,17,20,4,2,2,2,79
4020.0,2025-12-03T19:00:00+00:00,6,4,24,24,20,4,0,0,2,82
4080.0,2025-12-03T20:00:00+00:00,4,4,22,24,20,6,0,0,2,80
4140.0,2025-12-03T21:00:00+00:00,6,6,24,24,16,0,2,2,2,80
4200.0,2025-12-03T22:00:00+00:00,6,6,24,24,16,0,0,0,2,76
4260.0,2025-12-03T23:00:00+00:00,6,6,24,24,16,0,0,0,2,76
4320.0,2025-12-04T00:00:00+00:00,2,2,24,24,16,0,0,0,2,68
4380.0,2025-12-04T01:00:00+00:00,2,4,24,24,15,2,0,2,2,73
4440.0,2025-12-04T02:00:00+00:00,4,4,24,24,15,2,2,0,2,75
4500.0,2025-12-04T03:00:00+00:00,4,2,24,24,15,2,0,0,2,71
4560.0,2025-12-04T04:00:00+00:00,4,2,18,24,17,4,0,0,2,69
4620.0,2025-12-04T05:00:00+00:00,6,4,18,24,17,4,2,2,2,77
4680.0,2025-12-04T06:00:00+00:00,4,4,24,24,17,4,0,0,2,77
4740.0,2025-12-04T07:00:00+00:00,4,4,24,24,17,4,0,0,2,77
4800.0,2025-12-04T08:00:00+00:00,4,6,24,20,18,3,0,2,2,77
4860.0,2025-12-04T09:00:00+00:00,6,6,24,24,18,3,2,0,2,83
4920.0,2025-12-04T10:00:00+00:00,4,4,24,24,18,3,0,0,2,77
4980.0,2025-12-04T11:00:00+00:00,4,4,21,24,18,5,0,0,2,76
5040.0,2025-12-04T12:00:00+00:00,6,6,24,24,16,5,2,2,2,85
5100.0,2025-12-04T13:00:00+00:00,6,6,24,24,16,5,0,0,2,81
5160.0,2025-12-04T14:00:00+00:00,4,4,24,24,16,5,0,0,2,77
5220.0,2025-12-04T15:00:00+00:00,2,4,24,24,17,4,0,2,2,77
5280.0,2025-12-04T16:00:00+00:00,4,4,24,24,17,0,2,0,2,75
5340.0,2025-12-04T17:00:00+00:00,2,2,24,24,17,0,0,0,2,69
5400.0,2025-12-04T18:00:00+00:00,2,2,24,24,18,2,0,0,2,72
5460.0,2025-12-04T19:00:00+00:00,4,4,24,24,18,2,2,2,2,80
5520.0,2025-12-04T20:00:00+00:00,4,2,24,24,18,2,0,0,2,74
5580.0,2025-12-04T21:00:00+00:00,4,2,24,24,12,7,0,0,2,73
5640.0,2025-12-04T22:00:00+00:00,6,4,24,15,21,5,2,2,2,79
5700.0,2025-12-04T23:00:00+00:00,4,4,24,15,21,5,0,0,2,73
5760.0,2025-12-05T00:00:00+00:00,4,4,24,24,19,7,0,0,2,82
5820.0,2025-12-05T01:00:00+00:00,6,5,20,24,21,5,2,2,2,85
5880.0,2025-12-05T02:00:00+00:00,6,5,21,24,21,5,0,0,2,82
5940.0,2025-12-05T03:00:00+00:00,4,4,24,24,21,5,0,0,2,82
6000.0,2025-12-05T04:00:00+00:00,4,4,24,20,20,10,0,0,2,82
6060.0,2025-12-05T05:00:00+00:00,6,6,24,20,20,4,2,2,2,84
6120.0,2025-12-05T06:00:00+00:00,4,4,24,24,20,4,0,0,2,80
6180.0,2025-12-05T07:00:00+00:00,4,4,23,24,19,4,0,0,2,78
6240.0,2025-12-05T08:00:00+00:00,6,6,23,24,18,4,2,2,2,85
6300.0,2025-12-05T09:00:00+00:00,4,4,23,24,18,4,0,0,2,77
6360.0,2025-12-05T10:00:00+00:00,4,4,23,24,11,8,0,0,2,74
6420.0,2025-12-05T11:00:00+00:00,6,6,23,14,21,3,2,2,2,77
6480.0,2025-12-05T12:00:00+00:00,6,6,24,20,21,3,0,0,2,80
6540.0,2025-12-05T13:00:00+00:00,4,4,24,20,21,3,0,0,2,76
6600.0,2025-12-05T14:00:00+00:00,4,6,24,24,17,0,0,2,2,77
6660.0,2025-12-05T15:00:00+00:00,6,6,24,24,17,0,2,0,2,79
6720.0,2025-12-05T16:00:00+00:00,2,2,24,24,17,0,0,0,2,69
6780.0,2025-12-05T17:00:00+00:00,2,2,24,24,12,4,0,0,2,68
6840.0,2025-12-05T18:00:00+00:00,4,2,24,15,21,1,2,2,2,71
6900.0,2025-12-05T19:00:00+00:00,4,2,24,15,21,1,0,0,2,67
6960.0,2025-12-05T20:00:00+00:00,4,2,24,15,21,1,0,0,2,67
7020.0,2025-12-05T21:00:00+00:00,4,4,24,16,20,4,0,2,2,74
7080.0,2025-12-05T22:00:00+00:00,6,4,24,16,20,4,2,0,2,76
7140.0,2025-12-05T23:00:00+00:00,4,4,24,16,20,4,0,0,2,72
7200.0,2025-12-06T00:00:00+00:00,4,4,24,24,17,3,0,0,2,76
7260.0,2025-12-06T01:00:00+00:00,4,4,24,24,17,3,2,2,2,80
7320.0,2025-12-06T02:00:00+00:00,4,4,24,24,17,5,0,0,2,78
7380.0,2025-12-06T03:00:00+00:00,4,6,24,19,21,3,0,2,2,79
7440.0,2025-12-06T04:00:00+00:00,6,6,24,19,21,3,2,0,2,81
7500.0,2025-12-06T05:00:00+00:00,4,4,24,19,21,3,0,0,2,75
7560.0,2025-12-06T06:00:00+00:00,4,4,23,19,18,3,0,0,2,71
7620.0,2025-12-06T07:00:00+00:00,4,4,23,19,18,3,2,2,2,75
7680.0,2025-12-06T08:00:00+00:00,4,4,23,19,18,3,0,0,2,71
7740.0,2025-12-06T09:00:00+00:00,4,6,23,19,13,7,0,2,2,74
7800.0,2025-12-06T10:00:00+00:00,6,6,23,11,20,3,2,0,2,71
7860.0,2025-12-06T11:00:00+00:00,4,4,23,11,20,3,0,0,2,65
7920.0,2025-12-06T12:00:00+00:00,4,4,22,17,21,0,0,0,2,68
