timestamp,datetime,workshop_id,change_type,total_bays,busy_before,busy_after,available_before,available_after,utilization_before_percent,utilization_after_percent
506.0,2025-12-01T08:26:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
566.0,2025-12-01T09:26:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
659.0,2025-12-01T10:59:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
719.0,2025-12-01T11:59:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
814.0,2025-12-01T13:34:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
840.0,2025-12-01T14:00:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
874.0,2025-12-01T14:34:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
900.0,2025-12-01T15:00:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1091.0,2025-12-01T18:11:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
1151.0,2025-12-01T19:11:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
1273.0,2025-12-01T21:13:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1333.0,2025-12-01T22:13:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1444.5,2025-12-02T00:04:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
1504.5,2025-12-02T01:04:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
1504.5,2025-12-02T01:04:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1564.5,2025-12-02T02:04:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1618.5,2025-12-02T02:58:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
1678.5,2025-12-02T03:58:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
1739.0,2025-12-02T04:59:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1799.0,2025-12-02T05:59:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1800.5,2025-12-02T06:00:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
1860.5,2025-12-02T07:00:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
1973.5,2025-12-02T08:53:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1999.5,2025-12-02T09:19:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
2033.5,2025-12-02T09:53:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
2059.5,2025-12-02T10:19:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
2208.0,2025-12-02T12:48:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
2234.0,2025-12-02T13:14:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
2268.0,2025-12-02T13:48:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
2294.0,2025-12-02T14:14:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
2416.0,2025-12-02T16:16:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
2442.0,2025-12-02T16:42:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
2476.0,2025-12-02T17:16:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
2502.0,2025-12-02T17:42:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
2616.0,2025-12-02T19:36:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
2642.0,2025-12-02T20:02:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
2676.0,2025-12-02T20:36:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
2702.0,2025-12-02T21:02:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
2832.0,2025-12-02T23:12:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
2858.0,2025-12-02T23:38:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
2892.0,2025-12-03T00:12:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
2918.0,2025-12-03T00:38:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
3039.0,2025-12-03T02:39:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
3065.0,2025-12-03T03:05:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
3099.0,2025-12-03T03:39:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
3125.0,2025-12-03T04:05:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
3254.0,2025-12-03T06:14:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
3280.0,2025-12-03T06:40:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
3314.0,2025-12-03T07:14:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
3340.0,2025-12-03T07:40:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
3485.0,2025-12-03T10:05:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
3511.0,2025-12-03T10:31:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
3545.0,2025-12-03T11:05:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
3571.0,2025-12-03T11:31:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
3705.0,2025-12-03T13:45:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
3731.0,2025-12-03T14:11:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
3765.0,2025-12-03T14:45:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
3791.0,2025-12-03T15:11:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
