timestamp,datetime,workshop_id,change_type,total_bays,busy_before,busy_after,available_before,available_after,utilization_before_percent,utilization_after_percent
506.0,2025-12-01T08:26:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
566.0,2025-12-01T09:26:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
659.0,2025-12-01T10:59:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
719.0,2025-12-01T11:59:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
814.0,2025-12-01T13:34:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
840.0,2025-12-01T14:00:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
874.0,2025-12-01T14:34:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
900.0,2025-12-01T15:00:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1072.5,2025-12-01T17:52:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
1098.5,2025-12-01T18:18:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1132.5,2025-12-01T18:52:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
1158.5,2025-12-01T19:18:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1339.0,2025-12-01T22:19:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
1365.0,2025-12-01T22:45:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1399.0,2025-12-01T23:19:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
1425.0,2025-12-01T23:45:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1539.0,2025-12-02T01:39:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
1565.0,2025-12-02T02:05:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1599.0,2025-12-02T02:39:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
1625.0,2025-12-02T03:05:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1764.0,2025-12-02T05:24:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
1790.0,2025-12-02T05:50:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1824.0,2025-12-02T06:24:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
1850.0,2025-12-02T06:50:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1963.0,2025-12-02T08:43:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
2023.0,2025-12-02T09:43:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
2136.0,2025-12-02T11:36:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
2196.0,2025-12-02T12:36:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
2211.0,2025-12-02T12:51:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
2271.0,2025-12-02T13:51:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
2457.0,2025-12-02T16:57:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
2517.0,2025-12-02T17:57:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
2657.0,2025-12-02T20:17:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
2717.0,2025-12-02T21:17:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
2779.0,2025-12-02T22:19:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
2830.0,2025-12-02T23:10:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
2839.0,2025-12-02T23:19:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
2890.0,2025-12-03T00:10:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
3075.0,2025-12-03T03:15:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
3135.0,2025-12-03T04:15:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
3273.0,2025-12-03T06:33:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
3333.0,2025-12-03T07:33:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
3405.0,2025-12-03T08:45:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
3438.0,2025-12-03T09:18:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
3465.0,2025-12-03T09:45:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
3498.0,2025-12-03T10:18:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
3689.5,2025-12-03T13:29:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
3715.5,2025-12-03T13:55:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
3749.5,2025-12-03T14:29:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
3775.5,2025-12-03T14:55:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
3922.5,2025-12-03T17:22:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
3982.5,2025-12-03T18:22:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
4079.5,2025-12-03T19:59:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
4139.5,2025-12-03T20:59:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
4162.5,2025-12-03T21:22:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
4222.5,2025-12-03T22:22:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
4417.5,2025-12-04T01:37:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
4477.5,2025-12-04T02:37:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
