timestamp,datetime,track_WS_01,track_WS_02,track_collection1,track_collection2,track_retrofit,track_retrofitted,workshop_WS_01_busy_bays,workshop_WS_02_busy_bays,locomotives_busy,wagons_in_process
0.0,2025-12-01T00:00:00+00:00,0,0,0,0,0,0,0,0,0,0
60.0,2025-12-01T01:00:00+00:00,0,0,0,0,0,0,0,0,0,0
120.0,2025-12-01T02:00:00+00:00,0,0,0,0,0,0,0,0,0,0
180.0,2025-12-01T03:00:00+00:00,0,0,0,0,0,0,0,0,0,0
240.0,2025-12-01T04:00:00+00:00,0,0,0,0,0,0,0,0,0,0
300.0,2025-12-01T05:00:00+00:00,0,0,0,0,0,0,0,0,0,0
360.0,2025-12-01T06:00:00+00:00,0,0,0,0,3,0,0,0,1,3
420.0,2025-12-01T07:00:00+00:00,0,0,0,0,3,0,0,0,1,3
480.0,2025-12-01T08:00:00+00:00,0,0,2,0,3,0,0,0,1,5
540.0,2025-12-01T09:00:00+00:00,2,0,2,0,2,0,2,0,1,8
600.0,2025-12-01T10:00:00+00:00,2,0,4,0,2,0,0,0,2,8
660.0,2025-12-01T11:00:00+00:00,4,0,0,0,4,0,2,0,2,10
720.0,2025-12-01T12:00:00+00:00,2,0,8,0,4,0,0,0,2,14
780.0,2025-12-01T13:00:00+00:00,2,0,15,0,4,0,0,0,2,21
840.0,2025-12-01T14:00:00+00:00,4,2,0,0,19,0,2,2,2,29
900.0,2025-12-01T15:00:00+00:00,4,2,5,0,19,0,0,0,2,30
960.0,2025-12-01T16:00:00+00:00,2,2,5,0,19,0,0,0,2,28
1020.0,2025-12-01T17:00:00+00:00,2,2,5,0,19,0,0,0,2,28
1080.0,2025-12-01T18:00:00+00:00,4,2,11,0,14,4,2,0,2,37
1140.0,2025-12-01T19:00:00+00:00,4,4,17,0,20,1,0,2,2,48
1200.0,2025-12-01T20:00:00+00:00,4,4,17,0,20,1,0,0,2,46
1260.0,2025-12-01T21:00:00+00:00,2,4,17,0,20,1,0,0,2,44
1320.0,2025-12-01T22:00:00+00:00,2,4,15,0,18,4,0,0,2,43
1380.0,2025-12-01T23:00:00+00:00,4,6,15,0,18,4,2,2,2,51
1440.0,2025-12-02T00:00:00+00:00,4,4,15,0,18,4,0,0,2,45
1500.0,2025-12-02T01:00:00+00:00,4,4,24,0,18,4,0,0,2,54
1560.0,2025-12-02T02:00:00+00:00,6,4,24,2,17,4,2,0,2,59
1620.0,2025-12-02T03:00:00+00:00,6,6,24,10,17,4,0,2,2,69
1680.0,2025-12-02T04:00:00+00:00,4,4,24,10,17,4,0,0,2,63
1740.0,2025-12-02T05:00:00+00:00,4,4,21,13,18,9,0,0,2,69
1800.0,2025-12-02T06:00:00+00:00,6,6,22,13,15,9,2,2,2,75
1860.0,2025-12-02T07:00:00+00:00,6,6,24,9,18,8,0,0,2,71
1920.0,2025-12-02T08:00:00+00:00,6,6,24,12,18,8,0,0,2,74
1980.0,2025-12-02T09:00:00+00:00,8,6,24,14,19,8,2,0,2,81
2040.0,2025-12-02T10:00:00+00:00,6,4,24,14,19,8,0,0,2,75
2100.0,2025-12-02T11:00:00+00:00,6,4,24,14,17,10,0,0,2,75
2160.0,2025-12-02T12:00:00+00:00,6,6,24,24,18,12,0,2,2,92
2220.0,2025-12-02T13:00:00+00:00,8,6,22,24,20,12,2,0,2,94
2280.0,2025-12-02T14:00:00+00:00,8,6,24,24,20,4,0,0,2,86
2340.0,2025-12-02T15:00:00+00:00,8,6,24,24,20,4,0,0,2,86
2400.0,2025-12-02T16:00:00+00:00,4,4,24,24,20,4,0,0,2,80
2460.0,2025-12-02T17:00:00+00:00,4,6,23,24,17,4,0,2,2,80
2520.0,2025-12-02T18:00:00+00:00,2,4,24,24,17,4,0,0,2,75
2580.0,2025-12-02T19:00:00+00:00,2,4,24,24,17,4,0,0,2,75
2640.0,2025-12-02T20:00:00+00:00,4,6,23,21,20,3,2,2,2,81
2700.0,2025-12-02T21:00:00+00:00,2,4,24,24,20,3,0,0,2,77
2760.0,2025-12-02T22:00:00+00:00,2,4,24,24,20,3,0,0,2,77
2820.0,2025-12-02T23:00:00+00:00,2,4,24,23,19,6,0,0,2,78
2880.0,2025-12-03T00:00:00+00:00,2,4,23,24,17,8,0,0,2,78
2940.0,2025-12-03T01:00:00+00:00,4,4,24,24,17,8,2,0,2,83
3000.0,2025-12-03T02:00:00+00:00,4,6,24,20,17,10,0,2,2,83
3060.0,2025-12-03T03:00:00+00:00,6,6,22,23,20,10,2,0,2,89
3120.0,2025-12-03T04:00:00+00:00,6,6,24,24,20,7,0,0,2,87
3180.0,2025-12-03T05:00:00+00:00,6,4,24,23,20,7,0,0,2,84
3240.0,2025-12-03T06:00:00+00:00,6,4,24,24,16,13,0,0,2,87
3300.0,2025-12-03T07:00:00+00:00,6,6,22,24,21,13,0,2,2,94
3360.0,2025-12-03T08:00:00+00:00,8,6,22,24,21,6,2,0,2,89
3420.0,2025-12-03T09:00:00+00:00,4,4,24,22,21,6,0,0,2,81
3480.0,2025-12-03T10:00:00+00:00,4,4,24,22,19,9,0,0,2,82
3540.0,2025-12-03T11:00:00+00:00,4,6,24,22,17,11,0,2,2,86
3600.0,2025-12-03T12:00:00+00:00,6,6,24,22,20,5,2,0,2,85
3660.0,2025-12-03T13:00:00+00:00,4,4,24,21,20,5,0,0,2,78
3720.0,2025-12-03T14:00:00+00:00,4,4,24,21,20,5,0,0,2,78
3780.0,2025-12-03T15:00:00+00:00,4,6,24,21,17,10,0,2,2,84
3840.0,2025-12-03T16:00:00+00:00,6,6,21,21,21,4,2,0,2,81
3900.0,2025-12-03T17:00:00+00:00,6,6,21,21,21,4,0,0,2,79
3960.0,2025-12-03T18:00:00+00:00,4,4,24,24,21,4,0,0,2,81
4020.0,2025-12-03T19:00:00+00:00,4,4,24,24,21,4,0,0,2,81
4080.0,2025-12-03T20:00:00+00:00,4,6,20,24,21,9,0,2,2,86
4140.0,2025-12-03T21:00:00+00:00,6,6,24,24,21,9,2,0,2,92
4200.0,2025-12-03T22:00:00+00:00,6,6,24,23,18,12,0,0,2,89
4260.0,2025-12-03T23:00:00+00:00,6,6,22,23,20,7,0,0,2,84
4320.0,2025-12-04T00:00:00+00:00,4,6,22,23,20,7,0,2,2,84
4380.0,2025-12-04T01:00:00+00:00,4,6,24,24,20,7,0,0,2,85
4440.0,2025-12-04T02:00:00+00:00,4,6,24,23,18,13,0,0,2,88
4500.0,2025-12-04T03:00:00+00:00,6,6,24,24,20,13,2,0,2,95
4560.0,2025-12-04T04:00:00+00:00,6,8,24,24,20,5,0,2,2,89
4620.0,2025-12-04T05:00:00+00:00,4,4,24,23,20,5,0,0,2,80
4680.0,2025-12-04T06:00:00+00:00,4,4,24,24,17,11,0,0,2,84
4740.0,2025-12-04T07:00:00+00:00,6,4,24,24,17,11,2,0,2,88
4800.0,2025-12-04T08:00:00+00:00,4,4,22,24,21,5,0,2,2,82
4860.0,2025-12-04T09:00:00+00:00,4,4,24,24,19,7,0,0,2,82
4920.0,2025-12-04T10:00:00+00:00,6,4,24,24,17,10,2,0,2,87
4980.0,2025-12-04T11:00:00+00:00,6,6,21,24,20,10,0,2,2,89
5040.0,2025-12-04T12:00:00+00:00,5,6,24,21,21,13,0,0,2,90
5100.0,2025-12-04T13:00:00+00:00,7,6,24,22,21,7,2,0,2,89
5160.0,2025-12-04T14:00:00+00:00,5,4,23,23,21,7,0,0,2,83
5220.0,2025-12-04T15:00:00+00:00,5,4,24,24,20,9,0,0,2,86
5280.0,2025-12-04T16:00:00+00:00,5,6,24,24,18,12,0,2,2,91
5340.0,2025-12-04T17:00:00+00:00,7,6,24,22,20,5,2,0,2,86
5400.0,2025-12-04T18:00:00+00:00,7,6,24,24,20,5,0,0,2,86
5460.0,2025-12-04T19:00:00+00:00,4,4,24,24,20,5,0,0,2,81
5520.0,2025-12-04T20:00:00+00:00,4,3,24,24,20,5,0,0,2,80
5580.0,2025-12-04T21:00:00+00:00,6,5,24,24,18,3,2,2,2,84
5640.0,2025-12-04T22:00:00+00:00,4,4,24,24,18,3,0,0,2,77
5700.0,2025-12-04T23:00:00+00:00,4,4,24,24,18,3,0,0,2,77
5760.0,2025-12-05T00:00:00+00:00,4,4,24,24,17,7,0,0,2,80
5820.0,2025-12-05T01:00:00+00:00,4,4,24,22,17,7,0,0,2,78
5880.0,2025-12-05T02:00:00+00:00,4,5,21,24,20,7,0,2,2,83
5940.0,2025-12-05T03:00:00+00:00,6,5,24,24,18,10,2,0,2,89
6000.0,2025-12-05T04:00:00+00:00,6,7,24,23,20,10,0,2,2,92
6060.0,2025-12-05T05:00:00+00:00,6,7,24,23,18,12,0,0,2,90
6120.0,2025-12-05T06:00:00+00:00,8,7,23,24,20,8,2,0,2,92
6180.0,2025-12-05T07:00:00+00:00,8,7,23,23,20,8,0,0,2,89
6240.0,2025-12-05T08:00:00+00:00,6,6,23,23,20,8,0,0,2,86
6300.0,2025-12-05T09:00:00+00:00,6,8,18,23,20,12,0,2,2,89
6360.0,2025-12-05T10:00:00+00:00,8,8,18,23,20,12,2,0,2,91
6420.0,2025-12-05T11:00:00+00:00,8,8,18,22,20,12,0,0,2,88
6480.0,2025-12-05T12:00:00+00:00,8,8,24,24,20,3,0,0,2,87
6540.0,2025-12-05T13:00:00+00:00,4,6,22,24,18,8,0,2,2,84
6600.0,2025-12-05T14:00:00+00:00,4,6,24,24,18,8,0,0,2,84
6660.0,2025-12-05T15:00:00+00:00,4,6,24,24,18,8,0,0,2,84
6720.0,2025-12-05T16:00:00+00:00,5,6,23,22,19,2,2,0,2,79
6780.0,2025-12-05T17:00:00+00:00,2,4,23,22,19,2,0,2,2,74
6840.0,2025-12-05T18:00:00+00:00,2,4,23,22,19,2,0,0,2,72
6900.0,2025-12-05T19:00:00+00:00,2,4,21,20,18,7,0,0,2,72
6960.0,2025-12-05T20:00:00+00:00,4,6,21,20,18,7,2,2,2,80
7020.0,2025-12-05T21:00:00+00:00,4,6,23,18,21,7,0,0,2,79
7080.0,2025-12-05T22:00:00+00:00,4,6,21,18,18,11,0,0,2,78
7140.0,2025-12-05T23:00:00+00:00,6,8,21,18,18,11,2,2,2,86
7200.0,2025-12-06T00:00:00+00:00,6,8,24,24,20,8,0,0,2,90
7260.0,2025-12-06T01:00:00+00:00,6,8,24,24,20,8,0,0,2,90
7320.0,2025-12-06T02:00:00+00:00,6,6,23,24,20,8,0,0,2,87
7380.0,2025-12-06T03:00:00+00:00,6,6,24,24,17,13,0,0,2,90
7440.0,2025-12-06T04:00:00+00:00,8,8,24,20,21,4,2,2,2,89
7500.0,2025-12-06T05:00:00+00:00,8,8,24,20,21,4,0,0,2,85
7560.0,2025-12-06T06:00:00+00:00,4,4,22,20,21,4,0,0,2,75
7620.0,2025-12-06T07:00:00+00:00,6,4,22,20,18,8,2,0,2,80
7680.0,2025-12-06T08:00:00+00:00,6,6,22,18,20,4,0,2,2,78
7740.0,2025-12-06T09:00:00+00:00,6,6,22,18,20,4,0,0,2,76
7800.0,2025-12-06T10:00:00+00:00,4,4,21,18,20,4,0,0,2,71
7860.0,2025-12-06T11:00:00+00:00,4,4,21,18,16,8,0,0,2,71
7920.0,2025-12-06T12:00:00+00:00,6,4,24,23,16,8,2,0,2,83
