timestamp,datetime,workshop_id,change_type,total_bays,busy_before,busy_after,available_before,available_after,utilization_before_percent,utilization_after_percent
506.0,2025-12-01T08:26:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
566.0,2025-12-01T09:26:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
659.0,2025-12-01T10:59:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
719.0,2025-12-01T11:59:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
814.0,2025-12-01T13:34:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
840.0,2025-12-01T14:00:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
874.0,2025-12-01T14:34:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
900.0,2025-12-01T15:00:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1072.5,2025-12-01T17:52:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
1098.5,2025-12-01T18:18:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1132.5,2025-12-01T18:52:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
1158.5,2025-12-01T19:18:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1339.0,2025-12-01T22:19:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
1365.0,2025-12-01T22:45:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1399.0,2025-12-01T23:19:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
1425.0,2025-12-01T23:45:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1539.0,2025-12-02T01:39:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
1565.0,2025-12-02T02:05:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1599.0,2025-12-02T02:39:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
1625.0,2025-12-02T03:05:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1764.0,2025-12-02T05:24:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
1790.0,2025-12-02T05:50:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1824.0,2025-12-02T06:24:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
1850.0,2025-12-02T06:50:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1963.0,2025-12-02T08:43:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
2023.0,2025-12-02T09:43:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
2136.0,2025-12-02T11:36:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
2196.0,2025-12-02T12:36:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
2211.0,2025-12-02T12:51:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
2271.0,2025-12-02T13:51:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
2457.0,2025-12-02T16:57:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
2517.0,2025-12-02T17:57:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
2614.0,2025-12-02T19:34:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
2640.0,2025-12-02T20:00:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
2674.0,2025-12-02T20:34:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
2700.0,2025-12-02T21:00:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
2897.5,2025-12-03T00:17:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
2957.5,2025-12-03T01:17:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
2978.0,2025-12-03T01:38:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
3038.0,2025-12-03T02:38:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
3054.5,2025-12-03T02:54:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
3114.5,2025-12-03T03:54:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
3258.0,2025-12-03T06:18:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
3307.0,2025-12-03T07:07:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
3318.0,2025-12-03T07:18:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
3367.0,2025-12-03T08:07:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
3516.5,2025-12-03T10:36:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
3562.0,2025-12-03T11:22:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
3576.5,2025-12-03T11:36:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
3622.0,2025-12-03T12:22:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
3768.5,2025-12-03T14:48:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
3820.5,2025-12-03T15:40:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
3828.5,2025-12-03T15:48:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
3880.5,2025-12-03T16:40:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
4072.0,2025-12-03T19:52:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
4098.0,2025-12-03T20:18:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
4132.0,2025-12-03T20:52:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
4158.0,2025-12-03T21:18:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
